,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Tunisia,7.4,5.5,-0.5,4.7,5.7,5.7,-1.5,6.7,0.1,2.6,7.1,4.1,8.0,2.5,3.6,2.7,6.9,5.7,5.0,6.0,4.3,3.8,1.3,4.7,6.2,3.5,5.2,6.7,4.2,3.0,3.5,-2.0,4.2,2.4,3.1,1.0,1.1,2.2,2.6,1.6,-8.8,4.4,2.5,1.3,1.51000075299869,1.51000075299869,1.51000075299869,1.51000075299869,1.51000075299869
Turkmenistan,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,-10.0,-17.3,-7.2,-6.7,-11.3,6.7,16.5,18.6,20.4,15.8,17.1,14.7,13.0,11.0,11.1,14.7,6.1,16.2,12.9,6.1,-0.3,3.8,3.0,-1.0,4.7,0.9,-3.4,-2.9,4.6,1.8,2.3,4.449256135924199,4.449256135924199,4.449256135924199,4.449256135924199,4.449256135924199
Tuvalu,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,0.7,8.3,-4.4,-1.9,-3.7,1.3,6.9,6.6,-5.6,-2.5,7.5,-2.9,3.8,1.7,9.4,4.7,3.3,1.4,13.8,-4.3,1.8,0.7,4.3,2.206813134023852,2.206813134023852,2.206813134023852,2.206813134023852,2.206813134023852
"Türkiye, Republic of",-0.8,4.4,3.4,4.8,6.8,4.3,6.9,10.0,2.1,0.3,9.3,0.9,6.0,8.0,-5.5,7.2,7.0,7.5,3.1,-3.3,6.9,-5.8,6.4,5.8,9.8,9.0,6.9,5.0,0.8,-4.8,8.4,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3.0,0.8,1.9,11.4,5.6,2.7,4.602267406144673,4.602267406144673,4.602267406144673,4.602267406144673,4.602267406144673
Uganda,-3.4,3.9,8.2,4.9,-3.0,-3.0,0.9,4.0,8.3,6.4,6.5,1.8,5.9,6.7,7.7,9.2,6.6,4.6,6.1,8.0,3.9,8.8,7.1,6.2,5.8,10.0,7.0,8.1,10.4,8.1,7.5,7.7,2.3,3.9,5.7,8.0,0.2,6.8,5.5,7.8,-1.3,6.0,4.9,5.7,5.27713255586937,5.27713255586937,5.27713255586937,5.27713255586937,5.27713255586937
Ukraine,-0.8,-0.5,1.4,4.6,4.1,2.4,4.4,5.0,1.6,0.1,-0.4,-5.7,-9.9,-14.2,-22.9,-12.2,-10.0,-3.0,-1.9,-0.2,5.9,8.8,5.3,9.5,11.8,3.1,7.6,8.2,2.2,-15.1,4.1,5.5,0.2,0.0,-6.6,-9.8,2.4,2.4,3.5,3.2,-3.8,3.4,-30.3,-3.0,-0.9335062636921237,-0.9335062636921237,-0.9335062636921237,-0.9335062636921237,-0.9335062636921237
United Arab Emirates,-1.8,8.0,-7.2,-5.2,4.5,-2.5,-19.3,5.3,-2.6,15.7,23.6,2.1,3.1,0.0,7.4,6.6,5.3,8.6,0.8,3.8,12.3,1.3,2.5,8.8,9.6,4.9,9.8,3.2,3.2,-5.2,1.6,6.9,4.8,5.1,4.2,6.8,5.6,0.7,1.3,1.1,-5.0,3.9,7.4,3.5,3.5113591581495434,3.5113591581495434,3.5113591581495434,3.5113591581495434,3.5113591581495434
United Kingdom,-2.2,-0.9,1.7,3.9,1.9,3.7,2.6,5.2,5.2,2.2,0.6,-1.7,0.0,2.1,3.5,2.1,1.9,4.5,3.2,3.0,4.1,2.2,1.8,3.1,2.3,2.7,2.2,2.6,-0.2,-4.5,2.4,1.1,1.4,1.8,3.2,2.4,2.2,2.4,1.7,1.6,-11.0,7.6,4.0,-0.3,1.8022675563208124,1.8022675563208124,1.8022675563208124,1.8022675563208124,1.8022675563208124
United States,-0.3,2.5,-1.8,4.6,7.2,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.5,2.8,4.0,2.7,3.8,4.4,4.5,4.8,4.1,1.0,1.7,2.8,3.9,3.5,2.8,2.0,0.1,-2.6,2.7,1.5,2.3,1.8,2.3,2.7,1.7,2.2,2.9,2.3,-2.8,5.9,2.1,1.6,2.5477225656905627,2.5477225656905627,2.5477225656905627,2.5477225656905627,2.5477225656905627
Uruguay,6.0,1.9,-9.4,-5.9,-1.5,0.3,7.5,5.9,0.5,1.1,0.3,3.5,7.9,2.7,7.3,-1.4,5.6,5.0,4.5,-1.9,-1.9,-3.8,-7.7,0.8,5.0,7.5,4.1,6.5,7.2,4.2,7.8,5.2,3.5,4.6,3.2,0.4,1.7,1.6,0.5,0.4,-6.1,4.4,4.9,2.0,2.2431279204815775,2.2431279204815775,2.2431279204815775,2.2431279204815775,2.2431279204815775
Uzbekistan,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,-11.1,-2.3,-5.2,-0.9,1.7,5.2,4.3,4.3,3.8,4.2,4.0,4.2,7.4,7.0,7.5,9.5,9.0,8.1,7.1,7.5,7.1,7.3,6.9,7.2,5.9,4.4,5.9,6.0,2.0,7.4,5.7,5.3,4.90226903316125,4.90226903316125,4.90226903316125,4.90226903316125,4.90226903316125
Vanuatu,5.5,4.4,2.0,3.0,9.6,1.0,-0.1,-2.9,-1.7,1.5,11.7,3.1,2.6,0.7,9.1,1.0,2.3,4.9,1.2,0.3,5.9,-3.4,-5.2,4.3,4.0,5.3,8.5,2.9,5.6,3.0,1.3,3.1,1.0,0.5,3.1,0.4,4.7,6.3,2.9,3.2,-5.0,0.6,1.9,3.5,2.672722290762559,2.672722290762559,2.672722290762559,2.672722290762559,2.672722290762559
Venezuela,-4.9,-1.3,2.6,-9.9,5.2,0.9,6.1,4.8,6.5,-13.9,6.5,9.7,6.1,0.3,-2.3,4.0,-0.2,6.4,0.3,-6.0,3.7,3.4,-8.9,-7.8,18.3,10.3,9.9,8.8,5.3,-3.2,-1.5,4.2,5.6,1.3,-3.9,-6.2,-17.0,-15.7,-19.7,-27.7,-30.0,0.5,8.0,5.0,-0.7836224055995764,-0.7836224055995764,-0.7836224055995764,-0.7836224055995764,-0.7836224055995764
Vietnam,-3.5,5.8,8.2,7.1,8.4,5.6,3.4,2.5,5.1,7.8,5.0,5.8,8.7,8.1,8.8,9.5,9.3,8.2,5.8,4.8,6.8,6.9,7.1,7.3,7.8,7.5,7.0,7.1,5.7,5.4,6.4,6.4,5.5,5.6,6.4,7.0,6.7,6.9,7.5,7.4,2.9,2.6,8.0,5.8,6.081227310791711,6.081227310791711,6.081227310791711,6.081227310791711,6.081227310791711
West Bank and Gaza,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,7.1,1.2,14.7,14.3,8.3,-8.6,-9.3,-12.5,14.0,21.9,11.3,-1.0,3.8,7.4,8.6,5.8,9.6,6.1,4.7,-0.2,3.7,8.9,1.4,1.2,1.4,-11.3,7.0,4.0,3.5,4.160479414129737,4.160479414129737,4.160479414129737,4.160479414129737,4.160479414129737
Yemen,3.8499999999999996,3.8499999999999996,3.8499999999999996,3.8499999999999996,3.8499999999999996,3.8499999999999996,3.8499999999999996,3.8499999999999996,3.8499999999999996,3.8499999999999996,3.8499999999999996,6.3,8.2,4.0,6.7,5.7,4.6,5.2,6.0,3.8,6.2,3.8,3.9,3.7,4.0,5.6,3.2,3.3,3.6,3.9,7.7,-12.7,2.4,4.8,-0.2,-28.0,-9.4,-5.1,0.8,1.4,-8.5,-1.0,1.5,-0.5,-1.9395490111193994,-1.9395490111193994,-1.9395490111193994,-1.9395490111193994,-1.9395490111193994
Zambia,3.9,6.6,-2.9,-1.1,-1.7,1.2,1.7,1.5,9.3,-3.7,-0.6,-0.7,2.1,-0.1,-13.3,2.9,6.2,3.8,-0.4,4.7,3.9,5.3,4.5,6.9,7.0,7.2,7.9,8.4,7.8,9.2,10.3,5.6,7.6,5.1,4.7,2.9,3.8,3.5,4.0,1.4,-2.8,4.6,3.4,4.0,3.2946062819907405,3.2946062819907405,3.2946062819907405,3.2946062819907405,3.2946062819907405
Zimbabwe,1.9068181818181822,1.271111111111111,2.2733333333333334,1.4355555555555561,2.188888888888889,4.17111111111111,3.4622222222222225,2.7755555555555556,4.9511111111111115,3.6755555555555555,2.9644444444444447,2.3,0.1,0.9,2.5,2.6,5.0,3.2,4.0,-1.1,-4.2,-0.5,-7.7,-16.2,-6.3,-7.4,-3.6,-3.4,-16.3,7.4,19.7,14.2,16.7,2.0,2.4,1.8,0.5,5.0,4.7,-6.1,-7.8,8.5,3.0,2.5,1.4856324969432382,1.4856324969432382,1.4856324969432382,1.4856324969432382,1.4856324969432382
Africa (Region),1.9068181818181822,1.271111111111111,2.2733333333333334,1.4355555555555561,2.188888888888889,4.17111111111111,3.4622222222222225,2.7755555555555556,4.9511111111111115,3.6755555555555555,2.9644444444444447,2.3,0.1,0.9,2.5,2.6,5.0,3.2,4.0,3.1,4.3,4.5,4.9,5.5,5.9,5.9,5.5,6.1,5.2,3.0,5.9,2.7,6.2,3.7,3.8,3.4,2.2,3.5,3.4,3.0,-1.7,4.9,3.8,3.7,3.4295257028528936,3.4295257028528936,3.4295257028528936,3.4295257028528936,3.4295257028528936
Asia and Pacific,4.4,5.2,4.2,5.4,6.5,5.8,5.4,6.8,7.8,5.4,5.6,4.9,5.5,5.2,5.5,6.4,6.5,4.7,1.4,4.5,5.6,3.7,5.0,6.1,6.9,7.3,7.7,8.6,5.0,4.2,8.3,6.4,5.6,5.8,5.6,5.6,5.4,5.7,5.3,4.1,-0.8,6.9,4.0,4.4,5.443176865020014,5.443176865020014,5.443176865020014,5.443176865020014,5.443176865020014
Australia and New Zealand,2.6,3.9,0.5,-0.4,6.4,4.8,2.4,4.5,3.7,4.1,1.3,-1.0,2.3,4.1,4.9,3.2,4.0,4.3,4.1,4.4,3.2,2.6,4.2,3.2,4.2,3.0,2.6,4.3,2.2,1.6,2.3,2.6,3.6,2.2,2.7,2.5,2.9,2.5,2.9,2.1,-1.8,5.3,3.5,1.5,2.964647205393026,2.964647205393026,2.964647205393026,2.964647205393026,2.964647205393026
Caribbean,4.3,2.2,0.2,-1.9,-0.2,-0.1,1.9,1.7,0.4,1.8,1.6,0.6,2.5,0.0,-0.5,5.0,4.2,3.6,3.1,3.8,3.2,1.7,2.8,5.8,3.2,3.4,6.5,3.7,1.8,-1.6,0.1,2.0,2.2,2.5,2.0,0.7,-0.8,0.4,1.7,0.7,-4.8,4.5,13.4,9.9,2.384304472895304,2.384304472895304,2.384304472895304,2.384304472895304,2.384304472895304
Central America,2.3,1.4,-1.8,0.9,2.1,0.2,2.2,4.4,0.1,3.2,1.8,2.2,7.3,5.4,3.4,4.7,3.8,5.6,5.4,4.1,3.6,2.2,3.4,2.1,3.8,5.6,7.0,7.0,4.4,-0.1,5.2,5.1,4.5,4.2,4.8,4.9,4.5,4.3,3.9,3.3,-7.2,11.0,5.3,3.8,3.529540236529908,3.529540236529908,3.529540236529908,3.529540236529908,3.529540236529908
Central Asia and the Caucasus,-1.9,-0.2,0.4,0.7,0.3,1.2,2.0,-0.1,3.3,4.3,8.7,8.5,4.9,2.1,-7.4,3.6,5.5,6.5,2.8,-1.0,7.2,-0.9,7.1,6.9,9.5,9.8,9.0,7.6,3.0,-1.0,8.0,9.4,5.1,7.4,4.8,4.9,2.8,6.3,3.3,1.9,0.6,9.6,5.3,3.1,3.894577507927112,3.894577507927112,3.894577507927112,3.894577507927112,3.894577507927112
East Asia,4.2,4.8,4.8,6.0,7.7,7.3,5.8,7.7,8.4,5.0,5.0,5.8,5.7,5.2,6.2,6.4,6.2,5.0,2.3,4.5,6.1,4.2,5.3,5.9,6.8,7.3,8.1,9.4,5.6,4.4,8.7,6.7,5.8,6.0,5.5,5.3,5.1,5.5,5.2,4.4,0.9,7.1,2.6,4.3,5.583227175598028,5.583227175598028,5.583227175598028,5.583227175598028,5.583227175598028
Eastern Europe ,-0.9,-2.6,0.5,4.5,2.9,1.6,3.1,2.4,1.4,0.1,-6.4,-10.2,-11.3,-6.8,-8.3,-1.6,-0.6,1.6,-1.3,3.7,7.2,4.5,4.3,6.1,7.2,5.7,7.5,7.7,4.8,-6.1,3.3,4.5,2.5,1.3,1.2,-0.1,1.4,3.2,3.8,3.0,-3.0,5.8,-0.6,0.6,0.985616380508624,0.985616380508624,0.985616380508624,0.985616380508624,0.985616380508624
Europe,1.4,0.0,0.7,2.0,2.5,2.5,2.7,2.9,3.9,3.4,2.4,1.0,-1.9,-1.8,0.2,1.6,1.2,2.7,2.1,3.1,4.6,2.7,1.8,2.3,3.5,2.9,4.3,4.2,1.6,-4.8,2.5,2.4,0.4,0.5,1.6,1.6,1.8,2.8,2.3,2.0,-5.5,5.7,2.4,0.6,1.7454495486362533,1.7454495486362533,1.7454495486362533,1.7454495486362533,1.7454495486362533
Middle East (Region),-3.5,0.4,-2.4,-1.1,-1.4,-1.6,1.9,-0.5,2.8,4.3,12.1,10.5,7.4,1.6,1.9,2.7,4.2,3.2,2.9,1.1,6.1,0.8,2.3,12.4,10.5,4.7,5.8,5.2,4.6,0.3,5.2,6.7,3.8,2.9,3.7,2.5,5.4,0.6,1.5,0.4,-3.6,4.3,6.2,2.7,3.0397881930315056,3.0397881930315056,3.0397881930315056,3.0397881930315056,3.0397881930315056
North Africa,0.3,-3.6,5.5,3.6,3.5,5.3,0.5,-0.7,3.3,4.1,2.5,4.8,0.0,-0.3,3.4,0.3,5.2,2.6,5.7,4.0,4.3,3.8,3.0,6.3,4.6,5.4,4.6,5.5,4.7,2.8,4.5,-0.6,9.9,1.8,1.7,3.7,3.1,4.6,4.2,2.9,-1.8,5.4,4.1,4.0,3.2386309786352188,3.2386309786352188,3.2386309786352188,3.2386309786352188,3.2386309786352188
North America,1.0,3.3,-1.8,3.5,6.7,4.0,2.7,3.3,3.9,3.6,2.1,0.2,3.3,2.8,4.2,1.8,3.9,4.7,4.5,4.6,4.2,0.9,1.6,2.6,3.8,3.3,2.9,2.0,0.3,-2.9,3.0,1.9,2.4,1.8,2.4,2.6,1.7,2.3,2.8,2.0,-3.4,5.7,2.3,1.6,2.502267737051424,2.502267737051424,2.502267737051424,2.502267737051424,2.502267737051424
Pacific Islands ,-1.9,2.5,0.3,1.0,3.9,1.1,5.6,-0.1,2.8,4.0,0.5,5.0,10.6,9.1,8.6,-0.6,5.7,-4.4,3.4,3.7,-2.1,0.4,1.0,6.1,2.3,2.7,2.4,4.8,0.6,4.0,7.7,1.9,3.4,3.9,10.5,5.7,4.8,3.9,0.9,3.0,-6.2,-1.2,6.2,4.4,2.9977222895881828,2.9977222895881828,2.9977222895881828,2.9977222895881828,2.9977222895881828
South America,5.7,-2.3,-0.4,-2.8,4.4,3.9,7.1,3.8,1.1,-0.1,-1.3,3.9,3.0,4.5,4.9,3.7,2.6,4.8,1.2,-1.3,3.2,0.9,0.3,2.1,7.3,5.1,5.7,6.8,5.0,-1.0,6.7,4.9,2.7,3.3,0.5,-1.1,-2.4,0.8,0.5,-0.1,-6.3,7.5,3.9,1.0,2.369113168752329,2.369113168752329,2.369113168752329,2.369113168752329,2.369113168752329
South Asia,5.2,6.0,4.2,6.7,4.1,5.7,4.9,4.1,8.3,5.5,5.3,2.4,5.5,4.3,6.2,6.9,7.3,4.0,5.4,7.4,4.2,4.3,3.8,7.2,7.5,8.9,8.5,8.9,4.2,7.1,9.0,6.3,5.4,6.0,6.9,7.3,7.6,6.6,6.4,3.9,-4.3,8.4,6.4,5.2,5.797722242691487,5.797722242691487,5.797722242691487,5.797722242691487,5.797722242691487
Southeast Asia,7.0,6.5,4.1,4.6,4.9,1.7,5.0,6.5,8.4,9.1,8.4,7.3,6.7,7.8,7.7,8.0,7.5,4.1,-7.5,3.3,5.8,3.3,5.1,5.8,6.5,5.7,6.0,6.6,5.2,2.4,7.4,5.0,6.1,5.1,4.8,4.9,5.1,5.4,5.3,4.7,-3.1,3.2,5.7,4.6,5.180025857840901,5.180025857840901,5.180025857840901,5.180025857840901,5.180025857840901
Sub-Saharan Africa (Region) ,1.8842105263157898,1.6153846153846156,1.8948717948717944,1.3435897435897435,2.276923076923077,4.171794871794871,3.741025641025641,3.212820512820513,5.084615384615385,3.692307692307693,2.9410256410256417,0.5,0.3,1.7,1.9,4.2,4.8,3.6,2.8,2.5,4.2,5.0,6.2,4.9,6.7,6.2,6.1,6.5,5.5,3.2,6.7,4.5,3.9,4.8,4.9,3.3,1.6,2.9,3.0,3.0,-1.7,4.6,3.6,3.5,3.5309643130318182,3.5309643130318182,3.5309643130318182,3.5309643130318182,3.5309643130318182
Western Europe,1.6,0.3,0.7,1.7,2.5,2.6,2.6,3.0,4.2,3.7,3.2,1.9,1.2,-0.2,2.7,2.5,1.7,3.0,3.1,3.0,3.9,2.1,1.1,1.1,2.3,1.9,3.1,2.8,0.3,-4.3,2.2,1.6,-0.4,0.2,1.7,2.2,1.9,2.6,1.8,1.6,-6.6,5.7,3.6,0.6,1.7807203824545164,1.7807203824545164,1.7807203824545164,1.7807203824545164,1.7807203824545164
Western Hemisphere (Region),2.2,2.0,-1.4,2.1,6.1,3.9,3.7,3.5,3.3,2.8,1.4,1.0,3.3,3.1,4.3,2.3,3.6,4.7,3.9,3.5,4.0,1.0,1.4,2.5,4.5,3.7,3.5,3.1,1.4,-2.4,3.8,2.6,2.5,2.2,2.0,1.8,0.9,2.0,2.4,1.6,-4.1,6.2,2.7,1.6,2.5045404732317187,2.5045404732317187,2.5045404732317187,2.5045404732317187,2.5045404732317187
ASEAN-5,7.7,6.5,3.8,4.5,4.6,1.3,5.2,6.9,8.8,9.4,8.7,7.5,6.6,7.9,7.7,7.9,7.4,3.8,-8.8,3.0,5.6,2.7,4.8,5.5,6.1,5.3,5.7,6.4,5.1,2.0,7.6,4.8,6.2,5.0,4.5,4.6,4.8,5.2,5.0,4.3,-4.4,4.0,5.5,4.5,5.039499823918488,5.039499823918488,5.039499823918488,5.039499823918488,5.039499823918488
Advanced economies,1.3,2.0,0.2,3.2,4.8,3.7,3.3,3.8,4.8,3.9,3.1,1.6,2.2,1.3,3.3,2.9,3.0,3.5,2.8,3.6,4.1,1.5,1.6,2.0,3.3,2.8,3.0,2.7,0.3,-3.4,3.2,1.7,1.2,1.4,2.0,2.3,1.8,2.5,2.3,1.7,-4.2,5.4,2.7,1.3,2.306813228655671,2.306813228655671,2.306813228655671,2.306813228655671,2.306813228655671
Emerging and Developing Asia,6.3,5.9,5.1,7.0,7.5,6.6,6.2,7.2,9.3,6.3,5.9,6.1,8.9,9.0,9.3,8.9,8.4,6.1,2.8,6.5,6.5,6.0,6.6,8.3,8.4,9.3,10.1,11.2,7.3,7.6,9.6,7.9,7.0,6.9,6.9,6.8,6.8,6.6,6.4,5.2,-0.5,7.5,4.4,5.3,6.951156826014479,6.951156826014479,6.951156826014479,6.951156826014479,6.951156826014479
Emerging and Developing Europe,-0.8,-0.5,1.4,4.6,4.1,2.4,4.4,5.0,1.6,0.1,-0.4,-5.7,-8.7,-4.4,-8.4,-0.3,0.3,2.7,-0.8,2.6,7.5,2.7,4.8,6.2,7.9,6.3,7.4,7.2,4.3,-5.7,4.4,6.1,3.2,2.9,1.9,1.0,1.8,4.2,3.6,2.5,-1.6,7.3,0.8,1.2,1.891040917524332,1.891040917524332,1.891040917524332,1.891040917524332,1.891040917524332
Emerging market and developing economies,3.3,1.9,1.5,1.8,4.1,3.5,4.3,4.0,4.5,3.5,4.1,4.5,2.5,3.0,3.1,4.0,5.1,4.7,2.3,3.5,5.7,3.6,4.4,6.9,7.9,7.1,7.9,8.4,5.7,2.8,7.4,6.4,5.4,5.0,4.7,4.4,4.4,4.7,4.7,3.6,-1.8,6.9,4.0,3.9,4.299160311476273,4.299160311476273,4.299160311476273,4.299160311476273,4.299160311476273
Euro area,1.8,0.1,0.6,1.7,2.5,2.2,2.7,2.6,3.8,3.6,2.7,1.4,1.4,-0.8,2.5,2.9,1.6,2.6,3.0,2.9,3.8,2.2,0.9,0.7,2.3,1.7,3.2,3.0,0.4,-4.5,2.1,1.7,-0.9,-0.2,1.4,2.0,1.9,2.6,1.8,1.6,-6.1,5.4,3.5,0.8,1.6679970052921256,1.6679970052921256,1.6679970052921256,1.6679970052921256,1.6679970052921256
European Union,1.8,0.1,0.6,1.7,2.5,2.2,2.7,2.6,3.8,3.6,2.7,1.4,1.0,-0.6,2.7,2.8,2.0,2.6,3.0,2.9,3.9,2.3,1.3,1.1,2.8,2.1,3.7,3.4,0.9,-4.2,2.1,2.0,-0.6,-0.1,1.7,2.5,2.0,3.0,2.3,2.0,-5.6,5.6,3.7,0.7,1.8340859014439888,1.8340859014439888,1.8340859014439888,1.8340859014439888,1.8340859014439888
Latin America and the Caribbean,6.4,0.9,-0.5,-2.8,3.9,3.2,4.3,3.3,1.1,1.1,0.6,3.8,3.3,4.0,4.7,1.3,3.8,5.3,2.5,0.2,3.7,0.6,0.4,2.0,6.1,4.4,5.4,5.6,4.0,-1.9,6.1,4.6,3.0,2.9,1.4,0.4,-0.6,1.4,1.2,0.2,-6.8,7.0,4.0,1.6,2.434085879415983,2.434085879415983,2.434085879415983,2.434085879415983,2.434085879415983
Major advanced economies (G7),0.9,2.0,-0.1,3.3,5.0,3.8,3.0,3.5,4.7,3.8,2.8,1.2,2.1,1.1,3.0,2.5,2.7,3.2,2.9,3.2,3.8,1.2,1.1,1.9,2.9,2.5,2.5,2.1,0.0,-3.7,2.9,1.6,1.4,1.4,1.9,2.1,1.5,2.2,2.1,1.6,-4.5,5.3,2.3,1.1,2.086358745311334,2.086358745311334,2.086358745311334,2.086358745311334,2.086358745311334
Middle East and Central Asia,-1.9,-0.2,0.4,0.7,0.3,1.2,2.0,-0.1,3.3,4.3,8.7,8.5,4.9,0.2,1.4,1.7,4.5,3.0,3.6,2.3,5.5,2.5,3.1,10.2,8.8,5.9,6.2,5.9,4.9,1.2,5.0,4.7,5.1,3.0,3.4,3.0,4.3,2.2,2.8,1.6,-2.7,4.6,5.3,2.9,3.2184039117978096,3.2184039117978096,3.2184039117978096,3.2184039117978096,3.2184039117978096
Other advanced economies,3.8,4.2,2.2,4.0,6.6,4.3,5.5,6.5,5.5,4.6,4.3,3.7,4.0,4.2,6.2,5.3,4.9,4.7,1.0,5.5,5.9,2.2,3.9,2.8,5.3,4.2,4.8,5.2,1.8,-0.9,6.0,3.4,2.2,2.5,3.0,2.3,2.6,3.1,2.8,2.0,-1.6,5.4,2.6,1.8,2.4232144958408903,2.4232144958408903,2.4232144958408903,2.4232144958408903,2.4232144958408903
Sub-Saharan Africa,1.8842105263157898,1.6153846153846156,1.8948717948717944,1.3435897435897435,2.276923076923077,4.171794871794871,3.741025641025641,3.212820512820513,5.084615384615385,3.692307692307693,2.9410256410256417,0.2,0.0,1.6,1.8,3.9,4.8,3.5,2.4,2.4,4.0,4.6,6.3,4.8,6.9,6.3,6.0,6.6,5.7,3.6,6.9,5.0,4.8,4.9,5.0,3.2,1.5,2.9,3.2,3.3,-1.7,4.8,3.9,3.6,3.5593656826976305,3.5593656826976305,3.5593656826976305,3.5593656826976305,3.5593656826976305
World,2.1,1.9,0.7,2.6,4.6,3.6,3.6,3.9,4.7,3.8,3.4,2.7,2.3,2.0,3.2,3.3,3.9,4.0,2.6,3.5,4.8,2.5,2.9,4.3,5.4,4.9,5.4,5.6,3.1,-0.1,5.4,4.3,3.5,3.4,3.5,3.4,3.3,3.8,3.6,2.8,-2.8,6.3,3.4,2.8,3.361358751206166,3.361358751206166,3.361358751206166,3.361358751206166,3.361358751206166
